University Admission year,Gender,Age,H.S.C passing year,Program,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,What are the skills do you have ?,How many hour do you spent daily on your skill development?,What is you interested area?,What is your relationship status?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,What is your current CGPA?,How many Credit did you have completed?,What is your monthly family income?,student_id,attendance_clean,health_issues_clean,relationship_clean,interested_area_clean,skills_clean,performance_risk_label,performance_risk_binary,predicted_risk_binary,predicted_risk_label,predicted_risk_probability,predicted_confidence
2021,Male,22,2019,BCSE,4,Yes,Yes,3,2,Online,Yes,Yes,3,Intermediate,90,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,2.68,No,3.15,36,50000,STU1010,90.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.6698425611701281,0.6698425611701281
2021,Male,22,2019,BCSE,4,No,No,3,2,Offline,Yes,Yes,2,Basic,90,No,No,No,Programming,2,Software,Single,No,Bachelor,Yes,3.4,No,3.53,35,20000,STU1011,90.0,Yes,Single,Software,Programming,Good,0,0,Good,0.3633999778840969,0.6366000221159032
2021,Female,22,2020,BCSE,4,No,Yes,1,1,Offline,Yes,Yes,1,Basic,100,No,No,Yes,Programming,2,Software,Single,No,Family,No,2.68,No,3.15,36,50000,STU1012,100.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.8633500503251673,0.8633500503251673
2021,Female,21,2019,BCSE,4,Yes,No,3,2,Offline,Yes,Yes,1,Intermediate,90,No,No,No,Programming,1,Software,Single,No,Bachelor,No,2.68,No,3.15,36,24000,STU1013,90.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.6892415968468812,0.6892415968468812
2021,Female,21,2018,BCSE,4,No,Yes,2,2,Offline,Yes,Yes,1,Basic,97,No,No,No,Programming,2,Software,Single,No,Family,No,2.68,No,3.15,36,70000,STU1014,97.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.7990882840744565,0.7990882840744565
2021,Male,20,2020,BCSE,4,Yes,Yes,2,1,Offline,Yes,Yes,1,Basic,95,No,No,Yes,Programming,3,Software,Single,Yes,Family,No,3.93,No,3.89,35,30000,STU1015,95.0,No,Single,Software,Programming,Good,0,0,Good,0.15216058133033517,0.8478394186696648
2021,Male,22,2019,BCSE,4,Yes,Yes,5,3,Online,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,2,Machine Learning,Single,Yes,Family,No,2.68,No,3.15,36,40000,STU1016,95.0,No,Single,Machine Learning,Programming,At Risk,1,1,At Risk,0.7911301720340309,0.7911301720340309
2021,Female,21,2020,BCSE,4,Yes,No,5,1,Offline,Yes,Yes,2,Basic,97,No,No,No,Programming,2,Software,Single,No,Family,No,2.68,No,3.15,36,50000,STU1017,97.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.828185975683068,0.828185975683068
2021,Male,21,2020,BCSE,4,Yes,No,1,2,Online,Yes,Yes,3,Advance,70,No,No,Yes,Programming,2,Software,Relationship,No,Family,No,3.1,No,3.5,35,62488,STU1018,70.0,No,Relationship,Software,Programming,Good,0,0,Good,0.2755779867348375,0.7244220132651624
2021,Male,19,2020,BCSE,4,No,Yes,3,2,Online,Yes,Yes,2,Intermediate,70,Yes,No,Yes,Web development,2,Software,Single,No,Family,No,2.68,No,3.15,36,20000,STU1019,70.0,No,Single,Software,Web Development,At Risk,1,1,At Risk,0.8985102455369541,0.8985102455369541
2021,Female,21,2019,BCSE,4,Yes,No,3,2,Offline,Yes,Yes,2,Intermediate,96,No,No,Yes,Web development,1,Web development,Single,Yes,Bachelor,No,3.81,No,3.65,34,30000,STU1020,96.0,No,Single,Web Development,Web Development,Good,0,0,Good,0.24973245854381024,0.7502675414561898
2021,Male,21,2020,BCSE,4,Yes,No,3,3,Offline,Yes,Yes,2,Intermediate,80,Yes,No,No,Networking,2,NETWORKING,Single,No,Bachelor,No,2.68,No,3.15,36,50000,STU1021,80.0,No,Single,Networking,Networking,At Risk,1,1,At Risk,0.8679985569985571,0.8679985569985571
2021,Male,22,2020,BCSE,4,Yes,No,2,1,Offline,Yes,Yes,2,Intermediate,98,No,No,Yes,Web development,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,36,20000,STU1022,98.0,No,Single,Software,Web Development,At Risk,1,1,At Risk,0.7655152010823129,0.7655152010823129
2020,Female,21,2019,BCSE,4,No,Yes,6,3,Offline,Yes,Yes,3,Intermediate,95,No,No,No,Programming,3,Software,Single,Yes,Family,No,2.68,No,3.15,36,25000,STU1023,95.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.8028300574173001,0.8028300574173001
2021,Male,21,2020,BCSE,4,Yes,Yes,1,1,Online,Yes,Yes,1,Advance,85,No,No,Yes,Content creation,2,Machine Learning,Single,Yes,Bachelor,Yes,3.89,No,3.81,35,35000,STU1024,85.0,Yes,Single,Machine Learning,Content Creation,Good,0,0,Good,0.08235557706613335,0.9176444229338666
2021,Female,20,2020,BCSE,4,No,No,3,2,Offline,Yes,Yes,1,Basic,97,No,No,Yes,Programming,2,Software,Single,No,Family,No,3.79,No,3.82,39,50000,STU1025,97.0,No,Single,Software,Programming,Good,0,0,Good,0.14018327280013326,0.8598167271998667
2021,Male,20,2020,BCSE,4,No,No,4,3,Offline,Yes,No,3,Basic,95,No,No,No,Programming,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,36,4000,STU1026,95.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.8203486839796009,0.8203486839796009
2021,Male,19,2020,BCSE,4,Yes,Yes,2,1,Online,Yes,Yes,4,Intermediate,70,Yes,No,Yes,Programming,4,Artificial Intelligence,Single,Yes,Family,Yes,3.55,No,3.48,35,40000,STU1027,70.0,Yes,Single,Artificial Intelligence,Programming,Good,0,0,Good,0.1669069643806486,0.8330930356193514
2021,Male,21,2020,BCSE,4,Yes,Yes,2,1,Online,Yes,Yes,2,Intermediate,95,No,No,Yes,Web development,2,Software,Single,Yes,Bachelor,Yes,3.28,No,3.32,36,8000,STU1028,95.0,Yes,Single,Software,Web Development,Good,0,0,Good,0.18186452656908667,0.8181354734309133
2021,Male,25,2020,BCSE,4,Yes,No,3,3,Offline,Yes,Yes,2,Intermediate,100,No,No,Yes,Programming,3,Software,Single,Yes,Bachelor,No,2.68,No,3.15,36,47972,STU1029,100.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.7890784942225099,0.7890784942225099
2022,Male,20,2020,BCSE,2,Yes,Yes,3,3,Online,Yes,Yes,4,Intermediate,90,No,No,Yes,Programming,2,Machine Learning,Single,No,Family,No,2.68,No,3.15,11,30000,STU1030,90.0,No,Single,Machine Learning,Programming,At Risk,1,1,At Risk,0.845251628649757,0.845251628649757
2022,Male,20,2020,BCSE,2,Yes,Yes,4,2,Offline,Yes,Yes,2,Intermediate,95,No,No,Yes,Programming,3,Software,Single,Yes,Family,No,2.68,No,3.15,11,90000,STU1031,95.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.8421142810101203,0.8421142810101203
2022,Male,21,2021,BCSE,2,No,No,5,5,Offline,Yes,Yes,2,Intermediate,90,No,No,No,Programming,1,Software,Single,No,Bachelor,No,2.68,No,3.15,11,30000,STU1032,90.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.787932053088038,0.787932053088038
2021,Male,23,2018,BCSE,4,Yes,No,8,4,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,36,37000,STU1033,100.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.7945810675088772,0.7945810675088772
2022,Male,20,2020,BCSE,2,Yes,Yes,1,1,Offline,Yes,Yes,2,Basic,95,No,No,No,Programming,1,Software,Single,Yes,Family,No,2.68,No,3.15,11,35000,STU1034,95.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.8210170325082257,0.8210170325082257
2022,Female,20,2020,BCSE,2,Yes,Yes,3,1,Online,Yes,No,1,Intermediate,80,No,No,No,Programming,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,50000,STU1035,80.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.8512915662895802,0.8512915662895802
2022,Female,21,2019,BCSE,2,Yes,No,2,1,Offline,Yes,Yes,3,Basic,99,No,No,Yes,Web development,2,Artificial Intelligence,Single,No,Bachelor,No,2.68,No,3.15,11,30000,STU1036,99.0,No,Single,Artificial Intelligence,Web Development,At Risk,1,1,At Risk,0.666935657904036,0.666935657904036
2019,Male,24,2016,BCSE,11,No,No,2,2,Online,Yes,Yes,5,Basic,70,Yes,No,Yes,Programming,4,Software,Single,No,Bachelor,Yes,2.68,No,3.15,126,20000,STU1037,70.0,Yes,Single,Software,Programming,At Risk,1,1,At Risk,0.8203302792765278,0.8203302792765278
2022,Female,20,2020,BCSE,2,Yes,Yes,4,2,Offline,Yes,Yes,4,Intermediate,100,No,No,Yes,Programming,1,Software,Single,No,Family,No,2.68,No,3.15,11,80000,STU1038,100.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.7761536237379641,0.7761536237379641
2021,Female,22,2019,BCSE,2,Yes,Yes,5,2,Offline,Yes,Yes,3,Advance,98,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,11,40000,STU1039,98.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.8050605598765138,0.8050605598765138
2022,Male,20,2020,BCSE,2,Yes,No,5,5,Offline,Yes,Yes,6,Basic,100,No,No,Yes,Programming,3,Machine Learning,Single,No,Bachelor,No,2.68,No,3.15,11,20000,STU1040,100.0,No,Single,Machine Learning,Programming,At Risk,1,1,At Risk,0.8744331972742736,0.8744331972742736
2022,Male,21,2020,BCSE,2,No,No,3,2,Offline,Yes,Yes,2,Basic,97,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,11,10000,STU1041,97.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.7455574630108255,0.7455574630108255
2022,Male,21,2020,BCSE,2,Yes,Yes,3,3,Offline,Yes,Yes,1,Basic,98,No,No,Yes,Programming,4,Software,Single,No,Bachelor,No,2.68,No,3.15,11,10000,STU1042,98.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.8145841403042882,0.8145841403042882
2022,Male,19,2020,BCSE,2,Yes,Yes,5,3,Online,Yes,Yes,6,Intermediate,90,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,2.68,No,3.15,11,40000,STU1043,90.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.8345556369204975,0.8345556369204975
2022,Male,19,2020,BCSE,2,Yes,Yes,4,2,Online,Yes,Yes,2,Intermediate,90,No,No,Yes,Programming,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,40000,STU1044,90.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.8440529006466697,0.8440529006466697
2022,Male,19,2020,BCSE,2,Yes,No,4,2,Offline,Yes,Yes,1,Basic,95,No,No,Yes,Programming,3,Software,Single,No,Bachelor,No,2.68,No,3.15,11,25000,STU1045,95.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.8171407365298121,0.8171407365298121
2022,Male,20,2020,BCSE,2,Yes,No,5,2,Offline,Yes,Yes,3,Intermediate,95,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,2.68,No,3.15,11,20000,STU1046,95.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.8040558272025815,0.8040558272025815
2022,Male,19,2020,BCSE,2,Yes,Yes,1,1,Online,Yes,Yes,1,Intermediate,90,No,No,No,Programming,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,22000,STU1047,90.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.7401812038039552,0.7401812038039552
2021,Female,20,2020,BCSE,4,No,No,2,2,Offline,Yes,Yes,3,Basic,99,No,No,No,Programming,1,Software,Single,No,Family,No,3.78,No,3.88,36,200000,STU1048,99.0,No,Single,Software,Programming,Good,0,0,Good,0.1390049081538419,0.8609950918461581
2022,Male,20,2020,BCSE,2,Yes,No,7,2,Offline,Yes,Yes,5,Basic,90,No,No,Yes,Programming,2,Software,Single,No,Family,Yes,2.68,No,3.15,11,39000,STU1049,90.0,Yes,Single,Software,Programming,At Risk,1,1,At Risk,0.8121932126776187,0.8121932126776187
2022,Male,21,2020,BCSE,2,Yes,Yes,2,1,Online,Yes,Yes,3,Intermediate,90,No,No,No,Programming,1,Machine Learning,Single,No,Family,No,2.68,No,3.15,11,30000,STU1050,90.0,No,Single,Machine Learning,Programming,At Risk,1,1,At Risk,0.6530966292186434,0.6530966292186434
2022,Male,21,2020,BCSE,2,Yes,Yes,2,2,Offline,Yes,Yes,2,Intermediate,88,No,No,No,Programming,2,Software,Single,Yes,Family,No,4.0,No,4.0,11,20000,STU1051,88.0,No,Single,Software,Programming,Good,0,0,Good,0.14266327650835536,0.8573367234916447
2022,Male,21,2020,BCSE,2,Yes,Yes,5,2,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Web development,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,30000,STU1052,95.0,No,Single,Software,Web Development,At Risk,1,1,At Risk,0.8396796312935428,0.8396796312935428
2022,Male,20,2020,BCSE,2,Yes,No,3,1,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,1,Software,Single,No,Family,No,3.9,No,3.9,12,60000,STU1053,100.0,No,Single,Software,Programming,Good,0,0,Good,0.1349722257342378,0.8650277742657622
2022,Male,20,2020,BCSE,2,Yes,Yes,2,2,Offline,Yes,Yes,1,Basic,100,No,No,Yes,Programming,2,Software,Single,No,Family,No,2.68,No,3.15,11,40000,STU1054,100.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.8222244529445714,0.8222244529445714
2022,Male,22,2020,BCSE,2,No,Yes,1,1,Online,Yes,Yes,7,Basic,80,No,No,Yes,Networking,2,Software,Single,Yes,Family,Yes,2.68,No,3.15,11,32000,STU1055,80.0,Yes,Single,Software,Networking,At Risk,1,1,At Risk,0.8002064183110966,0.8002064183110966
2021,Male,20,2020,BCSE,2,Yes,No,1,2,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,1,Artificial Intelligence,Single,No,Family,No,2.68,No,3.15,11,30000,STU1056,100.0,No,Single,Artificial Intelligence,Programming,At Risk,1,1,At Risk,0.7875406599965933,0.7875406599965933
2021,Female,20,2020,BCSE,2,Yes,Yes,1,2,Offline,Yes,Yes,1,Intermediate,98,No,No,No,Programming,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,40000,STU1057,98.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.7908361138487133,0.7908361138487133
2022,Male,20,2020,BCSE,2,Yes,Yes,4,1,Online,Yes,Yes,3,Intermediate,85,No,No,Yes,Web development,2,Software,Single,No,Family,No,2.68,No,3.15,11,30000,STU1058,85.0,No,Single,Software,Web Development,At Risk,1,1,At Risk,0.8189200834969808,0.8189200834969808
2021,Female,20,2020,BCSE,2,Yes,Yes,2,1,Offline,Yes,Yes,4,Intermediate,99,No,No,No,Programming,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,40000,STU1059,99.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.8049810062799834,0.8049810062799834
2022,Male,20,2020,BCSE,2,Yes,Yes,1,1,Offline,Yes,Yes,4,Intermediate,75,No,No,Yes,Programming,1,Software,Single,No,Family,No,2.68,No,3.15,11,35000,STU1060,75.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.8414552040252523,0.8414552040252523
2021,Male,21,2020,BCSE,4,Yes,Yes,3,2,Offline,Yes,Yes,4,Intermediate,85,No,No,Yes,Web development,2,Artificial Intelligence,Relationship,No,Bachelor,No,2.68,No,3.15,36,40000,STU1061,85.0,No,Relationship,Artificial Intelligence,Web Development,At Risk,1,1,At Risk,0.7354137724841431,0.7354137724841431
2019,Male,23,2017,BCSE,11,No,Yes,1,2,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Web development,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,126,15000,STU1062,100.0,No,Single,Software,Web Development,At Risk,1,1,At Risk,0.7892605193127576,0.7892605193127576
2020,Male,21,2019,BCSE,8,Yes,No,3,2,Offline,Yes,Yes,5,Intermediate,95,No,No,Yes,Programming,1,Software,Single,No,Bachelor,No,3.84,No,3.8,80,23000,STU1063,95.0,No,Single,Software,Programming,Good,0,0,Good,0.10417420834769761,0.8958257916523024
2020,Male,21,2019,BCSE,8,No,Yes,3,2,Offline,Yes,Yes,2,Advance,95,No,No,Yes,Web development,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,88,62488,STU1064,95.0,No,Single,Software,Web Development,At Risk,1,1,At Risk,0.8207145148149396,0.8207145148149396
2018,Male,24,2016,BCSE,12,Yes,No,2,2,Offline,Yes,Yes,4,Intermediate,70,No,No,Yes,Programming,2,Machine Learning,Single,Yes,Bachelor,No,3.31,No,3.52,132,350000,STU1065,70.0,No,Single,Machine Learning,Programming,Good,0,0,Good,0.22237301177301144,0.7776269882269886
2020,Male,22,2019,BCSE,8,No,No,3,2,Online,Yes,Yes,4,Intermediate,100,No,No,Yes,Other,2,Machine Learning,Single,No,Bachelor,No,2.68,No,3.15,88,50000,STU1066,100.0,No,Single,Machine Learning,Other,At Risk,1,1,At Risk,0.6749158021389868,0.6749158021389868
2022,Female,21,2020,BCSE,2,Yes,No,3,1,Online,Yes,Yes,2,Advance,95,No,No,Yes,Programming,1,Software,Single,No,Family,No,2.68,No,3.15,11,40000,STU1067,95.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.8244220625348382,0.8244220625348382
2022,Male,20,2020,BCSE,2,No,No,3,2,Offline,Yes,Yes,2,Intermediate,100,No,No,Yes,Web development,5,Software,Relationship,No,Bachelor,No,2.68,No,3.15,11,35000,STU1068,100.0,No,Relationship,Software,Web Development,At Risk,1,1,At Risk,0.761669123703797,0.761669123703797
2020,Female,21,2019,BCSE,8,Yes,Yes,3,2,Offline,Yes,Yes,2,Basic,80,No,No,Yes,Programming,2,Software,Single,No,Family,No,2.68,No,3.15,88,35000,STU1069,80.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.8467240404068792,0.8467240404068792
2022,Male,21,2020,BCSE,2,No,No,8,2,Online,Yes,Yes,1,Basic,100,No,No,Yes,Web development,2,programming,Single,Yes,Bachelor,No,2.68,No,3.15,11,30000,STU1070,100.0,No,Single,Programming,Web Development,At Risk,1,1,At Risk,0.7909389505717733,0.7909389505717733
2020,Male,23,2018,BCSE,8,Yes,Yes,2,2,Online,Yes,Yes,1,Intermediate,90,No,No,Yes,Web development,1,Software,Single,No,Family,No,2.68,No,3.15,88,40000,STU1071,90.0,No,Single,Software,Web Development,At Risk,1,1,At Risk,0.5070528443340988,0.5070528443340988
2022,Male,20,2020,BCSE,2,Yes,Yes,4,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,2.68,No,3.15,11,35000,STU1072,95.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.8505280644450113,0.8505280644450113
2020,Female,21,2019,BCSE,8,No,Yes,1,1,Online,Yes,Yes,2,Intermediate,95,No,No,No,Software Development,2,Software,Single,No,Family,Yes,2.68,No,3.15,88,40000,STU1073,95.0,Yes,Single,Software,Software Development,At Risk,1,1,At Risk,0.7976210672259552,0.7976210672259552
2018,Female,24,2017,BCSE,12,No,Yes,2,2,Offline,Yes,Yes,3,Intermediate,80,Yes,No,Yes,Networking,1,Machine Learning,Married,Yes,Family,No,2.68,No,3.15,136,30000,STU1074,80.0,No,Married,Machine Learning,Networking,At Risk,1,1,At Risk,0.8417361111111111,0.8417361111111111
2020,Male,22,2019,BCSE,8,No,No,3,1,Online,Yes,Yes,1,Intermediate,100,No,No,No,Programming,8,Software,Single,Yes,Bachelor,No,2.68,No,3.15,88,35000,STU1075,100.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.7597480355851899,0.7597480355851899
2020,Male,21,2019,BCSE,8,No,Yes,4,1,Offline,Yes,Yes,2,Basic,95,No,No,Yes,Programming,2,Software,Single,No,Bachelor,No,2.68,No,3.15,88,25000,STU1076,95.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.8913431842839735,0.8913431842839735
2022,Female,20,2020,BCSE,2,Yes,Yes,5,3,Offline,Yes,No,2,Basic,99,No,No,Yes,Programming,2,Software,Single,Yes,Family,Yes,2.68,No,3.15,11,600000,STU1077,99.0,Yes,Single,Software,Programming,At Risk,1,1,At Risk,0.8578648377376509,0.8578648377376509
2022,Female,20,2019,BCSE,2,Yes,Yes,4,3,Offline,Yes,Yes,4,Basic,100,No,No,Yes,Programming,2,Software,Engaged,No,Family,No,2.68,No,3.15,11,35000,STU1078,100.0,No,Engaged,Software,Programming,At Risk,1,1,At Risk,0.8294989761519034,0.8294989761519034
2020,Female,20,2019,BCSE,8,Yes,No,1,1,Offline,Yes,Yes,5,Intermediate,80,No,No,Yes,Web development,2,Software,Married,No,Bachelor,No,3.49,No,3.67,71,40000,STU1079,80.0,No,Married,Software,Web Development,Good,0,0,Good,0.3314622820939695,0.6685377179060306
2020,Male,21,2019,BCSE,8,No,No,4,1,Online,Yes,Yes,2,Intermediate,100,No,No,Yes,Web development,2,NETWORKING,Single,No,Bachelor,No,3.07,No,2.74,85,20000,STU1080,100.0,No,Single,Networking,Web Development,At Risk,1,1,At Risk,0.7402508541607213,0.7402508541607213
2019,Male,21,2019,BCSE,8,No,Yes,3,1,Offline,Yes,Yes,8,Intermediate,85,No,No,Yes,Graphics Designing,1,NETWORKING,Single,No,Family,No,2.68,No,3.15,88,20000,STU1081,85.0,No,Single,Networking,Graphics Design,At Risk,1,1,At Risk,0.8209251214673384,0.8209251214673384
2019,Female,21,2019,BCSE,8,No,Yes,3,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,1,NETWORKING,Single,No,Family,No,3.76,No,3.5,83,92000,STU1082,95.0,No,Single,Networking,Programming,Good,0,0,Good,0.15527414760302466,0.8447258523969754
2020,Male,22,2019,BCSE,8,No,Yes,3,1,Offline,No,Yes,1,Intermediate,98,No,No,No,Web development,2,Software,Single,No,Family,No,2.7,No,2.8,80,35000,STU1083,98.0,No,Single,Software,Web Development,At Risk,1,1,At Risk,0.7971755757956624,0.7971755757956624
2020,Male,22,2019,BCSE,8,No,No,2,1,Offline,Yes,Yes,2,Intermediate,95,No,No,No,Web development,2,NETWORKING,Single,No,Bachelor,No,2.68,No,3.15,88,20000,STU1084,95.0,No,Single,Networking,Web Development,At Risk,1,1,At Risk,0.8367604027151245,0.8367604027151245
2020,Male,23,2017,BCSE,8,No,Yes,1,1,Online,Yes,Yes,1,Intermediate,99,No,No,Yes,Web development,2,Software,Single,Yes,Family,No,2.68,No,3.15,88,15000,STU1085,99.0,No,Single,Software,Web Development,At Risk,1,1,At Risk,0.7060193798651717,0.7060193798651717
2020,Male,23,2017,BCSE,8,Yes,Yes,2,1,Online,Yes,Yes,1,Intermediate,96,No,No,No,Networking,2,NETWORKING,Single,Yes,Family,No,2.68,No,3.15,88,30000,STU1086,96.0,No,Single,Networking,Networking,At Risk,1,1,At Risk,0.6669688938224092,0.6669688938224092
2022,Male,21,2020,BCSE,2,No,Yes,3,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,2,Software,Single,Yes,Family,No,3.65,No,3.15,11,45000,STU1087,95.0,No,Single,Software,Programming,At Risk,1,0,Good,0.475432041738836,0.524567958261164
